,INSTNM,WEBADDR,DISAURL
0,Alabama A & M University,https://www.aamu.edu/sitemap.xml,https://www.aamu.edu/administrativeoffices/VADS/Pages/Disability-Services.aspx/sitemap.xml
1,University of Alabama at Birmingham,https://www.uab.edu/sitemap.xml,https://www.uab.edu/students/disability/sitemap.xml
2,University of Alabama in Huntsville,An error occurred while accessing sitemap of https://www.uah.edu/sitemap.xml: 404 Client Error: Not Found for url: https://www.uah.edu/sitemap.xml,An error occurred while accessing sitemap of https://www.uah.edu/health-and-wellness/disability-support/sitemap.xml: 404 Client Error: Not Found for url: https://www.uah.edu/dss/sitemap.xml
3,Alabama State University,https://www.alasu.edu/sitemap.xml,An error occurred while accessing sitemap of http://www.alasu.edu/academics/researchcenters/alabama-alliance-students-disabilities is not a valid website/sitemap.xml: 404 Client Error: Not Found for url: https://www.alasu.edu/academics/researchcenters/alabama-alliance-students-disabilities%20is%20not%20a%20valid%20website/sitemap.xml
4,The University of Alabama,https://www.ua.edu/sitemap.xml,https://ods.ua.edu/sitemap.xml
5,Athens State University,"An error occurred while accessing sitemap of https://www.athens.edu is not a valid website./sitemap.xml: HTTPSConnectionPool(host='www.athens.edu%20is%20not%20a%20valid%20website.', port=443): Max retries exceeded with url: /sitemap.xml (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x108eb5310>: Failed to resolve 'www.athens.edu%20is%20not%20a%20valid%20website' ([Errno 8] nodename nor servname provided, or not known)""))",An error occurred while accessing sitemap of https://www.athens.edu/resources/accessibility-services is not a valid website./sitemap.xml: 403 Client Error: Forbidden for url: https://www.athens.edu/resources/accessibility-services%20is%20not%20a%20valid%20website./sitemap.xml
6,Auburn University at Montgomery,"An error occurred while accessing sitemap of http://www.aum.edu is not a valid website/sitemap.xml: HTTPConnectionPool(host='www.aum.edu%20is%20not%20a%20valid%20website', port=80): Max retries exceeded with url: /sitemap.xml (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x108ddabe0>: Failed to resolve 'www.aum.edu%20is%20not%20a%20valid%20website' ([Errno 8] nodename nor servname provided, or not known)""))",An error occurred while accessing sitemap of http://aum.edu/center-for-disability-services is not a valid website/sitemap.xml: 403 Client Error: Forbidden for url: https://aum.edu/center-for-disability-services%20is%20not%20a%20valid%20website/sitemap.xml
7,Auburn University,https://www.auburn.edu/sitemap.xml,An error occurred while accessing sitemap of https://accessibility.auburn.edu/sitemap.xml: 404 Client Error: Not Found for url: https://accessibility.auburn.edu/sitemap.xml
8,Jacksonville State University,An error occurred while accessing sitemap of https://www.jsu.edu/sitemap.xml: 404 Client Error: Not Found for url: https://www.jsu.edu/sitemap.xml,https://www.jsu.edu/dss/sitemap.xml
9,University of West Alabama,https://www.uwa.edu/sitemap.xml,An error occurred while accessing sitemap of https://www.uwa.edu/americandisabilityact/sitemap.xml: 404 Client Error: Not Found for url: https://www.uwa.edu/americandisabilityact/sitemap.xml
